event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_atom_LLC-stores_,max,cpu_atom_LLC-stores__max,-0.1052,0.1052,弱相关,0.0,显著,0.8425,低差异,-15.7465,1520705.2815,1281247.1076,-0.2278,小效应,0.0,显著
cpu_atom_LLC-stores_,med,cpu_atom_LLC-stores__med,0.1689,0.1689,弱相关,0.0,极显著,3.8024,高差异,280.2429,45435.5266,172765.3822,0.3691,小效应,0.0,显著
cpu_core_branch-load-misses_,mean,cpu_core_branch-load-misses__mean,-0.1756,0.1756,弱相关,0.0,极显著,0.6957,低差异,-30.4328,2079532.7965,1446673.3735,-0.3842,小效应,0.0,显著
cpu_core_branch-load-misses_,std,cpu_core_branch-load-misses__std,-0.8243,0.8243,强相关,0.0,极显著,0.2524,低差异,-74.7558,3748853.1334,946369.8177,-3.1361,大效应,0.0,显著
cpu_core_branch-load-misses_,max,cpu_core_branch-load-misses__max,-0.8207,0.8207,强相关,0.0,极显著,0.237,低差异,-76.301,22537701.7591,5341211.0026,-3.094,大效应,0.0,显著
cpu_core_branch-load-misses_,med,cpu_core_branch-load-misses__med,0.226,0.226,弱相关,0.0,极显著,3.2105,高差异,221.048,396967.6275,1274456.5461,0.4998,小效应,0.0,显著
cpu_core_branch-loads_,mean,cpu_core_branch-loads__mean,0.0153,0.0153,弱相关,0.466114,不显著,1.0367,低差异,3.6735,77121511.8154,79954587.0871,0.0329,小效应,0.47748263414634146,不显著
cpu_core_branch-loads_,std,cpu_core_branch-loads__std,-0.4484,0.4484,中等相关,0.0,极显著,0.4998,低差异,-50.017,107076000.1492,53519847.9868,-1.0808,大效应,0.0,显著
cpu_core_branch-loads_,max,cpu_core_branch-loads__max,-0.4599,0.4599,中等相关,0.0,极显著,0.5184,低差异,-48.1601,541986147.7759,280964977.4257,-1.1156,大效应,0.0,显著
cpu_core_branch-loads_,med,cpu_core_branch-loads__med,0.1998,0.1998,弱相关,0.0,极显著,2.3842,高差异,138.4201,28044105.5616,66862791.4686,0.4394,小效应,0.0,显著
cpu_core_branch-misses_,mean,cpu_core_branch-misses__mean,0.041,0.041,弱相关,0.050573,不显著,1.1113,低差异,11.1261,1321895.2334,1468970.47,0.0884,小效应,0.0548146064516129,不显著
cpu_core_branch-misses_,std,cpu_core_branch-misses__std,-0.5395,0.5395,中等相关,0.0,极显著,0.4213,低差异,-57.8691,2270413.6319,956545.9304,-1.3803,大效应,0.0,显著
cpu_core_branch-misses_,max,cpu_core_branch-misses__max,-0.5363,0.5363,中等相关,0.0,极显著,0.4266,低差异,-57.3353,12716202.6667,5425326.6536,-1.3689,大效应,0.0,显著
cpu_core_branch-misses_,med,cpu_core_branch-misses__med,0.2442,0.2442,弱相关,0.0,极显著,3.7602,高差异,276.0235,344596.2885,1295762.8668,0.5425,中等效应,0.0,显著
cpu_core_branches_,mean,cpu_core_branches__mean,0.1208,0.1208,弱相关,0.0,显著,1.3927,低差异,39.2738,57970869.9869,80738207.7015,0.2622,小效应,0.0,显著
cpu_core_branches_,std,cpu_core_branches__std,-0.2226,0.2226,弱相关,0.0,极显著,0.6876,低差异,-31.245,78278048.0927,53820100.5784,-0.4918,小效应,0.0,显著
cpu_core_branches_,max,cpu_core_branches__max,-0.2071,0.2071,弱相关,0.0,极显著,0.7318,低差异,-26.8179,384264101.9398,281212450.7465,-0.456,小效应,0.0,显著
cpu_core_branches_,med,cpu_core_branches__med,0.2207,0.2207,弱相关,0.0,极显著,2.7567,高差异,175.665,24899055.1807,68637991.2625,0.4874,小效应,0.0,显著
cpu_core_bus-cycles_,mean,cpu_core_bus-cycles__mean,-0.0412,0.0412,弱相关,0.049489,显著,0.9416,低差异,-5.8373,354237911.6036,333559846.327,-0.0888,小效应,0.053988,不显著
cpu_core_bus-cycles_,std,cpu_core_bus-cycles__std,-0.6424,0.6424,强相关,0.0,极显著,0.459,低差异,-54.1026,412256387.5367,189214996.8712,-1.8057,大效应,0.0,显著
